replay,player,day,animals_COW,animals_GOOSE,animals_SHEEP,plants_CARROT,plants_MELON,plants_STRAWBERRY,plants_TOMATO,plants_WHEAT,tiles_planted_today_CARROT,tiles_planted_today_MELON,tiles_planted_today_STRAWBERRY,tiles_planted_today_TOMATO,tiles_planted_today_WHEAT,land_owned,hands,money
episode-94488124-replay,0,0,2,0,2,0,12,0,0,7,0,12,0,0,7,1,0,18.0
episode-94488124-replay,0,1,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,167.0
episode-94488124-replay,0,2,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,36.0
episode-94488124-replay,0,3,3,0,2,0,12,0,0,7,0,0,0,0,0,1,0,14.0
episode-94488124-replay,0,4,3,0,2,0,12,0,0,3,0,0,0,0,3,1,0,124.0
episode-94488124-replay,0,5,4,0,2,0,12,4,0,3,0,0,4,0,0,1,0,53.0
episode-94488124-replay,0,6,4,0,2,0,14,4,0,3,0,2,0,0,0,2,0,970.0
episode-94488124-replay,0,7,6,0,3,0,20,7,0,3,0,6,3,0,0,2,0,21.0
episode-94488124-replay,0,8,6,0,4,0,20,11,0,5,0,0,4,0,5,2,0,1345.0
episode-94488124-replay,0,9,8,0,4,0,20,11,0,5,0,0,0,0,0,2,0,2030.0
episode-94488124-replay,0,10,8,0,4,0,8,11,0,9,0,0,0,0,4,2,0,15035.0
episode-94488124-replay,0,11,10,0,4,0,8,27,0,17,0,0,16,0,8,3,0,12074.0
episode-94488124-replay,0,12,10,0,4,0,8,34,0,15,0,0,7,0,3,3,0,14018.0
episode-94488124-replay,0,13,10,0,4,0,8,34,0,17,0,0,0,0,2,3,0,16262.0
episode-94488124-replay,0,14,10,0,4,0,8,33,0,16,0,0,0,0,3,3,0,19058.0
episode-94488124-replay,0,15,10,0,4,0,8,33,0,15,0,0,0,0,7,3,0,24260.0
episode-94488124-replay,0,16,10,0,4,0,6,33,0,18,0,0,0,0,6,3,0,28033.0
episode-94488124-replay,0,17,10,0,4,0,0,33,0,24,0,0,0,0,8,3,0,34786.0
episode-94488124-replay,0,18,10,0,4,0,0,33,0,27,0,0,0,0,6,3,0,42098.0
episode-94488124-replay,0,19,10,0,4,0,0,33,0,26,0,0,0,0,6,3,0,45538.0
episode-94488124-replay,0,20,10,0,4,0,0,33,0,24,0,0,0,0,4,3,0,52689.0
episode-94488124-replay,0,21,10,0,4,2,0,31,0,18,2,0,0,0,2,3,0,59863.0
episode-94488124-replay,0,22,10,0,4,3,0,29,0,23,1,0,0,0,11,3,0,70209.0
episode-94488124-replay,0,23,10,0,4,3,0,26,0,24,0,0,0,0,7,3,0,75703.0
episode-94488124-replay,0,24,10,0,4,3,0,25,0,27,2,0,0,0,7,3,0,81338.0
episode-94488124-replay,0,25,10,0,4,3,0,22,0,33,1,0,0,0,8,3,0,82979.0
episode-94488124-replay,0,26,10,0,4,3,0,22,0,31,0,0,0,0,9,3,0,87879.0
episode-94488124-replay,0,27,10,0,4,1,0,17,0,36,0,0,0,0,11,3,0,90046.0
episode-94488124-replay,0,28,10,0,4,0,0,6,0,11,0,0,0,0,0,3,0,96166.0
episode-94488124-replay,0,29,10,0,4,0,0,0,0,1,0,0,0,0,0,3,8,106530.0
episode-94488124-replay,1,0,0,0,4,0,7,0,0,5,0,7,0,0,5,1,0,170.0
episode-94488124-replay,1,1,0,0,4,0,7,0,0,9,0,0,0,0,4,1,0,48.0
episode-94488124-replay,1,2,0,0,4,0,7,2,0,10,0,0,2,0,1,1,0,313.0
episode-94488124-replay,1,3,0,0,4,0,7,3,0,10,0,0,1,0,0,1,0,471.0
episode-94488124-replay,1,4,1,0,4,0,7,3,0,10,0,0,0,0,5,1,0,17.0
